date,cashRatio,currentRatio,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,netProfitMargin,returnOnAssets,returnOnCapitalEmployed,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,ticker,price
2021,0.1389464952301949,0.7402184432462325,108.55047921020392,76.89299700529831,31.65748220490562,0.3743604525473805,0.0760250774663111,0.0300497225625135,0.0050282765190338,0.0154093332359599,FY,22.418416801292405,0.6736672051696284,7.77059773828756,5.749596122778676,3.247172859450727,76.48949919224556,-33.61873990306947,76.48949919224556,34.07592891760905,72670601238.0,91537601238.0,174.27002694964028,5.236765960798444,15.108233105613309,20.41882586063501,1.5348512310811666,1.5348512310811666,6.596353767961375,18.23821503048416,19.03068632806653,25.72003406518685,0.0057382214113559,0.0489744124772559,0.3210974296153927,0.4289469559031001,3.7591153616258217,4.88425925925926,11.534772182254196,0.0132240546194557,2.304556354916067,0.0,0.0,0.8219845413657136,-0.26008316008316,-0.0901491676875405,-0.3115815691158157,0.027599625279239,34.04982394635035,0.0154093332359599,0.0282462914041861,-49.22092084006462,-3758000000.0,-20810000000.0,-24865000000.0,0.4409360677550848,4280000000.0,1702500000.0,,108.55047921020392,76.89299700529831,0.0,3.3624909134964867,4.746856205576818,,0.0088073161974359,-2.021001615508885,FIS,139.43000030517578
2015,0.2908752485299716,1.485426625491772,115.67852377486658,44.4576846034781,71.22083917138848,0.3338791848617176,0.1666666666666666,0.0957514556040756,0.0240399256913144,0.0459822044852729,FY,23.141052631578948,2.2157894736842105,3.989122807017544,2.5319298245614035,2.4126315789473685,32.705263157894734,-42.38842105263158,32.705263157894734,41.09543859649123,17023050000.0,27848550000.0,26.95653206650832,2.5811271834061134,14.973216641745095,23.590701219512194,1.8263115545542323,1.8263115545542323,4.222548216885008,14.821730799936132,24.49516228340224,38.592779933481154,0.0370967599813194,0.0423895835352654,1.2335371741229482,0.6419021805335607,5.761615839054766,5.520843797086891,1.8003167062549486,0.0178992601208361,0.4825019794140934,0.1672125181950509,0.0,0.8179855950785723,-0.3652915823731198,-0.0629700388161086,-0.6203136669156086,0.0148441290635613,40.379815519452805,0.0459822044852729,0.1320770501746387,-51.25175438596492,1147500000.0,-12080700000.0,-13350600000.0,1.2351786289024782,3261600000.0,1055550000.0,,115.67852377486658,44.4576846034781,0.0,3.155296143909674,8.21005419547748,,0.0677502413904087,-1.4571929824561405,FIS,66.04500007629395
2021,0.4891704127503065,2.4348181446669392,174.85188201284865,64.07278565694406,110.77909635590458,0.3127988230967267,0.1935546156675248,0.2204854726002206,0.1633737566425943,0.172111846946284,FY,18.24832214765101,4.023489932885906,2.5553691275167787,1.9513422818791943,2.082214765100672,10.671140939597317,-1.2634228187919463,10.671140939597317,7.859060402684563,45957560596.0,49559560596.0,19.164954376980816,4.225594023170284,30.17567997110965,39.51638916251075,7.226031540251572,7.226031540251572,4.556781959911732,21.84202758748347,32.54074891398555,42.61355167325881,0.0521785745131284,0.0253059558627057,0.7539308176100629,0.5654040059953672,1.5874834728955487,-18.305217391304343,0.6351125938281902,0.0075286850631953,0.1442869057547956,0.0,0.0,0.4858972612072489,-0.2363755745239658,-0.0331004045605001,-0.9113924050632912,0.0076314821625597,31.081226378872504,0.172111846946284,0.3177842565597668,-7.165268456375839,3511000000.0,-753000000.0,-2341000000.0,0.7545597484276729,2202800000.0,1216350000.0,1678100000.0,82.35656491357116,64.07278565694406,92.49531709927749,4.431947840260799,5.696646341463414,3.946145723336853,0.3770440251572327,-0.6040268456375839,APH,72.0
2015,1.7227290757635858,3.817929393097977,154.45174809560086,56.62065871424048,97.8310893813604,0.3195539353888699,0.198376640867707,0.1371056081311616,0.1023678000643569,0.1712713178294573,FY,9.008534685145978,1.2351206263776024,1.667048861142265,1.3886411862246677,2.847814473706786,5.238949768859024,0.5970962975716739,5.238949768859024,4.661913059718368,15321052127.11,16397352127.11,20.06686591631958,2.7512798547434767,14.86759061340126,17.848383186288444,4.73091002844218,4.73091002844218,2.94455656205398,12.771518130002336,15.912035057845706,19.102227547891427,0.0498333922282671,0.0560274838097505,0.8686737687200865,0.5604419178376059,0.8383051639535789,16.174231332357248,1.349705304518664,0.0103974582605932,0.2086444007858546,0.1201537163072171,0.0,0.3900702563552504,-0.1670063076176613,-0.0309048790561531,-1.0029137529137528,0.0079372205362113,12.066131762154098,0.1712713178294573,0.167835396012398,-1.8850351144551425,2841600000.0,369100000.0,-330000000.0,0.868766404199475,1528100000.0,854250000.0,1157000000.0,72.4009194246413,56.62065871424048,82.05082867095958,5.041372442513127,6.446410343654304,4.44846208030054,0.2357572950440018,-0.278407674917597,APH,26.81999969482422
2021,0.0411813643926788,1.0414586799778147,142.83360969536272,76.80019559166479,66.03341410369794,0.322753209700428,0.125484002445486,0.1092317098023232,0.0630087871396244,0.0918515756106656,FY,49.205314615191774,5.374780646778642,5.422411631987967,3.9809476059162696,1.4239157683629982,41.1456505389822,-10.416144397092005,41.1456505389822,22.712459262973177,62503641797.8,71122641797.79999,29.15281800270522,3.1844121559914407,28.89673684595469,39.35997594319899,3.808178992128191,3.808178992128191,3.623529743111881,17.96026308025252,32.881480257882565,44.78755780717884,0.0343020012647561,0.0254065195934854,0.4367269847072442,0.5165309900961002,2.176515151515152,17.104166666666668,1.0088619402985075,0.0195028635922284,0.5685634328358209,0.0,0.0313837375178316,0.6055779234137597,-0.26583448913546,-0.0292948848583656,-0.6236442516268981,0.0,70.539698325559,0.0918515756106656,0.1597496460770434,-32.716846327400354,299000000.0,-4155000000.0,-10065000000.0,0.5432279290806068,3100500000.0,2392000000.0,2539000000.0,61.31062767475036,76.80019559166479,81.52298202061236,5.953290870488322,4.752592062924562,4.477265072414955,0.1306281606043989,-1.441464026071697,ETN,159.1550064086914
2015,0.0579459459459459,1.4304864864864866,120.21530201369754,44.89714525608733,75.31815675761021,0.3146967154159674,0.1122992088228242,0.0948933109566051,0.0637749347426766,0.0886919639475876,FY,44.80128893662728,4.251342642320086,5.093447905477981,4.006444683136412,0.9559613319011816,32.62298603651987,-9.155746509129967,32.62298603651987,18.64876476906552,23512404069.0,31693404069.0,11.880952030823648,1.1274228755214577,9.916661353437368,12.60718716836461,1.5482947497036743,1.5482947497036743,1.5197029042915369,9.604061839090908,13.36710420455504,16.993782342627345,0.0841683391537668,0.0793198345233831,0.5123798235216647,0.509168251103735,2.479090909090909,10.094827586206897,1.198079838302173,0.0436365416734536,0.5184436584133401,0.172428674178854,0.0299688324142891,0.6281782733395637,-0.2134120624209194,-0.0242627667226084,-0.547027027027027,0.0,55.8619598857717,0.0886919639475876,0.1715201941410989,-24.88560687432868,1991000000.0,-4262000000.0,-9184000000.0,0.5563677070986435,3191500000.0,1872500000.0,2216000000.0,60.88875569407816,44.89714525608733,59.326546319619375,5.994538660534636,8.129692832764505,6.152389151958674,0.1303173976030554,-1.0870032223415682,ETN,54.1200008392334
2021,0.1759704047264093,0.767130473193087,78.39810529913724,122.99543870356392,-44.59733340442668,0.3943111180287362,0.1414827280951778,0.0978335943655943,0.0364133386436873,0.060608081077477,FY,47.41559040590406,4.638837638376383,7.257841328413284,4.847324723247232,2.940036900369004,61.8869926199262,-26.638837638376383,61.8869926199262,34.44557195571956,10451927783.2,17022027783.2,10.3926894533161,1.0167541643433171,6.642470786908167,9.945692057474549,0.7790005130169709,0.7790005130169709,1.6558876020895552,7.457297723297994,10.817939487257709,16.197571398991343,0.0962214838124427,0.1005460448826649,0.4954274768765232,0.5052644918353307,2.878340488916148,5.58739915482136,1.5645818832653873,0.0141409319951069,0.146962314805608,0.0,0.0,0.7038415583475144,-0.3321258341277407,-0.0508380594764438,-0.6648009159140058,0.0031226592215726,80.37028984987418,0.060608081077477,0.1229522226025722,-56.52952029520295,-843500000.0,-5775300000.0,-11176200000.0,0.5371876187849833,783250000.0,1915400000.0,734500000.0,31.2247439127601,122.99543870356392,47.173361386377145,11.689447350466226,2.9675897240360327,7.737417671181807,0.0749565852531471,-2.410516605166052,TAP,50.420000076293945
2015,0.3540092014459415,1.034176799211305,86.99105238549555,94.40905939449964,-7.4180070090041,0.3935529081990189,0.1462648913805185,0.100770847932726,0.0292840676751138,0.0471828629816169,FY,19.252563410685376,1.9400971397733409,3.758229897463573,2.2741500269832704,2.325418240690772,38.00863464651916,1.8030221262817048,38.00863464651916,16.50134916351862,16765944555.9,19272444555.9,46.63684160194715,4.6996340731324455,24.075164497271683,39.78629462719506,2.3805117926877752,2.3805117926877752,5.402226925269797,22.780667323758863,27.674389080844342,45.73432500213574,0.0214422753696564,0.0251342832844874,0.4129916228879738,0.4246556372848497,2.9627659574468086,4.337489609310058,1.937134909596662,0.0180962068071036,0.8439499304589708,0.2948283111422565,0.0,0.5481293223528262,-0.3948879954049397,-0.0770847932725998,-0.8746819338422391,0.0051576734407848,40.73278747764555,0.0471828629816169,0.0648063021650172,-23.14908256880734,41600000.0,334100000.0,-3954400000.0,0.4170665909413602,606500000.0,1146150000.0,430500000.0,53.80616678346181,94.40905939449964,33.184885602033745,6.783609051150409,3.8661543959971407,10.998983223182512,0.0510435893795257,-1.4840798704803022,TAP,90.86999893188477
2021,0.6504065040650406,1.6617179215270417,156.71656361996045,84.18230852211434,72.53425509784608,0.3414322250639386,0.0454674623472577,-0.0646490480250071,-0.0344097406034939,0.0307869924956705,FY,33.67738045678357,-2.1772105865070364,3.009814195413024,2.6844288769899944,8.804543910270214,22.2506136862807,5.019547044496442,22.2506136862807,22.169267356674943,4288331160.0,6985331160.0,-9.424903648351648,0.6093110485933504,6.817696597774245,7.644084064171123,0.9222217548387096,0.9222217548387096,0.992516504688832,-142.5577787755102,11.10545494435612,12.451570695187163,-0.1061018804340661,0.1308201207110133,0.818494623655914,0.6470543749527339,-55.04081632653061,3.333333333333333,-1.3824175824175824,0.0480373348778409,-0.4527472527472527,0.0,0.0440466041489059,0.2736141571504197,-0.1081081081081081,-0.0096618357487922,-0.2079510703363914,0.0076726342710997,33.01508916641141,0.0307869924956705,-0.047371160853722,-23.41936903958696,1872000000.0,1049000000.0,-3855000000.0,0.9756989247311828,2029000000.0,1026000000.0,769500000.0,101.90750213128727,84.18230852211434,54.80906148867314,3.581679389312977,4.335827876520113,6.6594827586206895,-0.0978494623655914,-0.3253853184230296,XRX,23.27999973297119
2015,0.2603730491054434,1.2723639132089837,102.65044676335724,46.08903145047724,56.561415312880015,0.2916597395400387,0.0460515378221113,0.026267664172901,0.0190998106136922,0.0424781475233859,FY,67.80482580979704,1.781074393673804,6.05339841394198,4.768319421038096,5.140315971615536,35.40730804132544,-6.087216282176293,35.40730804132544,28.519735544270407,6837370658.55,12836370658.55,14.424832612974685,0.3789066588279302,4.244177938268156,5.387998942907801,0.7256044421680994,0.7256044421680994,0.7113533199528955,6.886464945574034,7.967951991651148,10.115343308550038,0.0693248945641512,0.1855976607635188,0.6772789981959036,0.6185679171535641,3.2183476394849784,3.726457399103139,3.3987341772151898,0.0476791468943318,0.6877637130801688,0.1972291493488501,0.0311997783319479,0.4467099165894346,-0.2122905027932961,-0.0189526184538653,-0.2873949579831932,0.0025491825990579,37.66853618445797,0.0424781475233859,0.034520428228097,-40.21789979765642,1431000000.0,-1620000000.0,-8666000000.0,0.7818104637588879,2919000000.0,1298500000.0,892500000.0,75.75090052646162,46.08903145047724,26.899546236895635,4.818424566088117,7.919454770755886,13.569002123142251,0.0503024514485832,-1.285078992903884,XRX,26.890645027160645
